Ar-B(OH)2,Ar-X,product,catalizor,base,solv1,solv2,amount,centigrades,minute,cycle,yield
"""phenylboronic acid""","""bromobenzene""","""1","1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,88
"""phenylboronic acid""","""1-bromo-4-methylbenzene""","""[1","1'-biphenyl]-4-carbaldehyde""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,74
"""phenylboronic acid""","""1-bromo-4-methoxybenzene""","""4-methoxy-1","1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,77
"""phenylboronic acid""","""1-bromo-4-fluorobenzene""","""4-fluoro-1","1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,74
"""phenylboronic acid""","""4-bromobenzaldehyde""","""[1","1'-biphenyl]-4-carbaldehyde""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,100
"""phenylboronic acid""","""1-(4-bromophenyl)ethan-1-one""","""1-([1","1'-biphenyl]-4-yl)ethan-1-one""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-bromo-4-nitrobenzene""","""4-nitro-1","1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,84
"""phenylboronic acid""","""1-iodo-4-methoxybenzene""","""4-Formyl-[1","1'-biphenyl]-carbonitrile ""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,82
"""phenylboronic acid""","""1-chloro-4-iodobenzene""","""4-chloro-1","1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,85
"""phenylboronic acid""","""bromobenzene""","""1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-bromo-4-methylbenzene""","""[1","1'-biphenyl]-4-carbaldehyde""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,93
"""phenylboronic acid""","""1-bromo-4-methoxybenzene""","""4-methoxy-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-bromo-4-fluorobenzene""","""4-fluoro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,100
"""phenylboronic acid""","""4-bromobenzaldehyde""","""[1","1'-biphenyl]-4-carbaldehyde""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,100
"""phenylboronic acid""","""1-(4-bromophenyl)ethan-1-one""","""1-([1","1'-biphenyl]-4-yl)ethan-1-one""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-bromo-4-nitrobenzene""","""4-nitro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-iodo-4-methoxybenzene""","""4-Formyl-[1","1'-biphenyl]-carbonitrile""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,97
"""phenylboronic acid""","""1-chloro-4-iodobenzene""","""4-chloro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,81
"""phenylboronic acid""","""bromobenzene""","""1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,100
"""phenylboronic acid""","""1-bromo-4-methylbenzene""","""[1","1'-biphenyl]-4-carbaldehyde""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,91
"""phenylboronic acid""","""1-bromo-4-methoxybenzene""","""4-methoxy-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,86
"""phenylboronic acid""","""1-bromo-4-fluorobenzene""","""4-fluoro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,100
"""phenylboronic acid""","""4-bromobenzaldehyde""","""[1","1'-biphenyl]-4-carbaldehyde""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-(4-bromophenyl)ethan-1-one""","""1-([1","1'-biphenyl]-4-yl)ethan-1-one""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,97
"""phenylboronic acid""","""1-bromo-4-nitrobenzene""","""4-nitro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,99
"""phenylboronic acid""","""1-iodo-4-methoxybenzene""","""4-Formyl-[1","1'-biphenyl]-carbonitrile""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,81
"""phenylboronic acid""","""1-chloro-4-iodobenzene""","""4-chloro-1","1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(CC(C)C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,120.0,85
"""phenylboronic acid""","""2-bromo-1","4-dimethylbenzene""","""2",5-dimethyl-1,"1'-biphenyl""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60
"""phenylboronic acid""","""2-bromonaphthalene""","""2-phenylnaphthalene""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60,120,82.0,68
"""phenylboronic acid""","""4-bromophenol""","""[1","1'-biphenyl]-4-ol""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60,120.0,86
"""phenylboronic acid""","""4-bromobenzaldehyde""","""[1","1'-biphenyl]-4-carbaldehyde""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,10.0,83
"""phenylboronic acid""","""1-(4-bromophenyl)ethan-1-one""","""1-([1","1'-biphenyl]-4-yl)ethan-1-one""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,40,10.0,71
"""phenylboronic acid""","""1-(3-bromophenyl)ethan-1-one""","""1-([1","1'-biphenyl]-3-yl)ethan-1-one""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60,120.0,75
"""phenylboronic acid""","""(4-bromophenyl)(phenyl)methanone""","""[1","1'-biphenyl]-4-yl(phenyl)methanone""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60,120.0,92
"""phenylboronic acid""","""4-bromobenzonitrile""","""4-Formyl-[1","1'-biphenyl]-carbonitrile""","""I[Pd](I)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,100,120.0,68
"""phenylboronic acid""","""2-bromo-1","4-dimethylbenzene""","""2",5-dimethyl-1,"1'-biphenyl""","""Cl[Pd](Cl)([N]1=CC=CC=C1)C(N2C)N(C)C3=C2N(C)C(N(C)C3=O)=O""","""[K].[K]OO[C]=O""","""water""","""propan-2-ol""",0.0025,60
